1.0000000000	go wrong with
1.0000000000	a lot of
1.0000000000	5 year old
1.0000000000	a gift for
1.0000000000	4 year old
1.0000000000	a variety of
1.0000000000	play with
1.0000000000	to use
1.0000000000	legos and
1.0000000000	comes in
1.0000000000	perfect for
1.0000000000	of different
1.0000000000	set for
1.0000000000	with lego
1.0000000000	classic legos
1.0000000000	to get
1.0000000000	wrong with
1.0000000000	set of
1.0000000000	of fun
1.0000000000	of pieces
1.0000000000	to make
1.0000000000	with legos
1.0000000000	of lego's
1.0000000000	of lego
1.0000000000	to buy
1.0000000000	to keep
1.0000000000	go wrong
1.0000000000	of legos
1.0000000000	comes with
1.0000000000	of colors
1.0000000000	year old
1.0000000000	to build
1.0000000000	to add
1.0000000000	these for
1.0000000000	these legos
1.0000000000	amount of
1.0000000000	plenty of
1.0000000000	great set
1.0000000000	great price
1.0000000000	great for
1.0000000000	number of
1.0000000000	a gift
1.0000000000	a good
1.0000000000	the instructions
1.0000000000	a large
1.0000000000	for hours
1.0000000000	looking for
1.0000000000	the container
1.0000000000	the kids
1.0000000000	the storage
1.0000000000	the lego
1.0000000000	the legos
1.0000000000	a great
1.0000000000	the pieces
1.0000000000	a lot
1.0000000000	for christmas
1.0000000000	the price
1.0000000000	starter kit
1.0000000000	great starter
1.0000000000	the box
1.0000000000	lego sets
1.0000000000	lego set
1.0000000000	a nice
1.0000000000	a few
1.0000000000	son loves
1.0000000000	a kid
1.0000000000	a lego
1.0000000000	a little
1.0000000000	starter set
1.0000000000	playing with
1.0000000000	came with
1.0000000000	colors and
1.0000000000	5 year
1.0000000000	want to
1.0000000000	brick box
1.0000000000	happy with
1.0000000000	more of
1.0000000000	as well
1.0000000000	pieces and
1.0000000000	box to
1.0000000000	storage box
1.0000000000	pieces to
1.0000000000	box of
1.0000000000	variety of
1.0000000000	more legos
1.0000000000	box and
1.0000000000	selection of
1.0000000000	this kit
1.0000000000	this product
1.0000000000	lot of
1.0000000000	this set
1.0000000000	so much
1.0000000000	this box
1.0000000000	this for
1.0000000000	assortment of
1.0000000000	come in
1.0000000000	gift for
1.0000000000	lots of
0.7728861794	christmas
0.7372126397	brick
0.6911041904	play
0.6892731456	lego
0.6760745069	nice
0.6509781582	lego's
0.6441923932	add
0.6382949215	large
0.6276557015	variety
0.6196828046	hours
0.5904351352	legos
0.5876888507	amazon
0.5845713572	big
0.5844787891	creativity
0.5844787891	free
0.5804021247	book
0.5760733010	basic
0.5740437373	great
0.5665329916	gift
0.5629389286	storage
0.5621258173	kid
0.5610791997	love
0.5610385890	children
0.5536376372	plastic
0.5520935366	color
0.5468153294	store
0.5459670007	perfect
0.5402975020	selection
0.5358410301	price
0.5333603606	classic
0.5332558679	grandson
0.5302201993	buying
0.5300426893	medium
0.5299885427	starter
0.5293153085	recommend
0.5276416225	playing
0.5256556993	sizes
0.5247753222	happy
0.5223539997	stuff
0.5218715850	kit
0.5205132129	excellent
0.5199739505	size
0.5180271637	cool
0.5163978905	bin
0.5140434503	purchase
0.5050578141	projects
0.5050578141	quality
0.5050578141	nephew
0.5045396257	creations
0.5037277606	kits
0.5024137996	tiny
0.4999154027	number
0.4990089088	thought
0.4959734062	create
0.4953553004	product
0.4939276743	parts
0.4933769001	room
0.4921958244	worth
0.4907768298	plenty
0.4889444186	assortment
0.4880429951	container
0.4859614038	built
0.4859614038	toy
0.4859614038	wanted
0.4820321242	awesome
0.4820321242	pretty
0.4799881480	wrong
0.4724088087	cute
0.4712249776	build
0.4691363890	needed
0.4682965299	purchased
0.4648830059	buy
0.4637832007	online
0.4637462706	includes
0.4623373503	set
0.4557439470	thing
0.4557439470	played
0.4557439470	piece
0.4557439470	follow
0.4552970754	cars
0.4542616723	instructions
0.4513284217	bought
0.4501642402	larger
0.4501642402	bags
0.4497351295	started
0.4490838553	specific
0.4459179353	regular
0.4459179353	shapes
0.4455855989	enjoy
0.4455855989	items
0.4455855989	making
0.4455855989	directions
0.4445171793	yr
0.4445171793	easy
0.4445171793	bigger
0.4413987686	imagination
0.4408184452	box
0.4374197923	boys
0.4374197923	makes
0.4306838678	colors
0.4306516290	loves
0.4301123825	fun
0.4295796080	inside
0.4248952504	creative
0.4246166638	child
0.4243537566	boxes
0.4219527333	supplement
0.4218270915	birthday
0.4214211948	booklet
0.4112309003	included
0.4060439957	sets
0.4034031953	loved
0.4029089118	pieces
0.4006480100	son
0.3965782980	wheels
0.3957556574	ideas
0.3949223241	daughter
0.3925886711	kids
0.3805572898	blocks
0.3803667685	collection
0.3740221937	building
0.3723812217	small
0.3709924351	things
0.3507402393	bricks
0.3377971642	came
0.3345394193	good
0.3251499181	want
0.2981872714	few
0.2957790266	well
0.2952918518	use
0.2904762227	come
0.2800463058	go
0.2720393330	amount
0.2673726663	looking
0.2608243396	keep
0.2602679129	i
0.2572403292	this
0.2558625765	make
0.2541860915	old
0.2528061559	i'm
0.2515434588	4
0.2506949898	get
0.2416557309	5
0.2303056326	however
0.2303056326	after
0.2269242944	comes
0.2266166802	year
0.2248509232	much
0.2182330346	there's
0.2134322450	little
0.2073881582	we
0.2052473143	if
0.2019678564	of
0.1968441689	then
0.1960458428	6
0.1960454506	a
0.1954494845	ones
0.1954494845	&
